inward_dt,unit,inward_no,item_mark,vakkal,lot_no,no_of_cartons,weight_kg,total_inventory_kgs,group_name,item_description,storage_location,exporter,last_purchase_rate,value
2023-07-24,D-39,GR5903,WHITE POWDER,V-2,56059,39,10,390,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,83850
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,49,7,343,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,82663
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,14,7,98,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,23618
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,9,7,63,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,15183
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,3,7,21,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,5061
2023-12-25,D-39,GR15667,-,CUTT,79450,6,15,90,Dry Dates,Seedless Chopped Red Kharik Dry Dates,Savla,Local,250,22500
2024-03-27,D-39,GR21140,KALMI DATES,SAFAVI,90088,2,5,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-03-27,D-39,GR21140,SAFAVI DATES,WHITE,90090,2,5,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-03-30,D-39,GR21328,SAFAVI 5KG,ROYAL DELIGHT,90507,3,5,15,Premium Dates,Wet Dates Safavi,Savla,Local,550,8250
2024-05-30,D-514,GR1590,SAFAWI DATES BROWN BOX,-,71103,1,10,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-05-30,D-514,GR1590,SAFAWI DATES,BROWN & WHITE,71102,1,20,20,Premium Dates,Wet Dates Safavi,Savla,Local,550,11000
2024-06-06,D-39,GR3498,BROWN,-,97941,1,10.896,10.896,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,522,5687.712
2024-06-12,D-514,GR1968,SAFAWI WHITE BOX,-,71480,1,10,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-06-12,D-514,GR1968,SAFAWI WHITE,-,71478,1,20,20,Premium Dates,Wet Dates Safavi,Savla,Local,550,11000
2024-07-27,D-39,GR6534,WHITE,V-2,93289,114,10,1140,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,245100
2024-07-27,D-39,GR6534,WHITE,V-2,93289,77,10,770,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,165550
2024-09-27,D-39,GR10651,WHITE,-,110715,98,10,980,Dry Dates,AL BARAKAH CHOPPED DATES,Savla,AL BARAKAH,110,107800
2024-10-02,D-514,GR4752,ARSH SUKKARY PREMIUM,4.3 KG,75214,111,12,1332,Economical Dates,Wet Dates (Sukkary),Savla,Local,350,466200
2024-10-02,D-514,GR4750,DEGLET NOUR BRANCHES,1299205412,75207,7,5,35,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,510,17850
2024-11-25,D-39,GR14538,SAAD/ BROWN,BLACK,121319,17,10,170,Economical Dates,AL BARAKAH LULU BLACK DATES-10KG,Savla,AL BARAKAH,182,30940
2024-12-01,D-39,GR14927,SAFAVI DATES,-,122342,3,20,60,Premium Dates,Wet Dates Safavi,Savla,Local,550,33000
2024-12-10,D-39,GR15535,DATE CRUSHED,WHITE,123526,60,10,600,Dry Dates,AL BARAKAH CRUSHED DATES 10KG,Savla,AL BARAKAH,116.6,69960
2024-12-10,D-39,GR15535,DATE POWDER V2,WHITE,123525,923,10,9230,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,1984450
2025-01-15,D-514,GR7072,SIFA  AJWA S,74229,79000,38,5,190,Premium Dates,Wet Dates Ajwa,Savla,Local,980,186200
2025-01-15,D-514,GR7072,SIAFA  AJWA G,74228,78999,59,5,295,Premium Dates,Wet Dates Ajwa,Savla,Local,980,289100
2025-01-24,D-39,GR18618,AL BARAKAH DATES,DATES POWDER,129815,866,10,8660,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,2338200
2025-02-10,D-514,GR7683,DATES WET MEDJOUL BABY,5KGX3,79912,9,15,135,Premium Dates,WET DATES MEDJOUL BULK MINI (5),Savla,Hadiklaim,477,64395
2025-02-10,D-514,GR7683,DATE MEDJOUL KING SOLOMON,500 GM,79910,59,8,472,Premium Dates,WET DATES MEDJOUL BULK LARGE (5),Savla,Hadiklaim,817,385624
2025-02-10,D-514,GR7683,DATE MEDJOUL KING SOLOMON,1 KG,79911,7,8,56,Premium Dates,WET DATES MEDJOUL JUMBO,Savla,Hadiklaim,1045,58520
2025-02-11,D-514,GR7699,MEDJOUL SUPER JUMBO,NO.2,79952,9,5,45,Premium Dates,Off-Grade Dates,Savla,Hadiklaim,1139,51255
2025-02-26,D-39,GR20724,-,KING SOLOMON,133830,119,10,1190,Premium Dates,King Solomon Medjoul Dates 500 Gms,Savla,Hadiklaim,817,972230
2025-02-28,D-39,GR20841,DEGLET NOUR BRANCHES,1299205412,133992,1,5,5,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,510,2550
2025-03-05,D-39,GR21205,AL-BARKAH DATE,-,134588,1592,10,15920,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,4298400
2025-03-05,D-39,GR21205,AL-BARKAH DATE,-,134588,102,10,1020,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,275400
2025-03-07,D-39,GR21347,AL BARAKAH,DATE POWDER,134869,370,10,3700,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,999000
2025-03-19,D-514,GR8554,MDJL LARGE,NO-2,81382,4,5,20,Premium Dates,Off-Grade Dates,Savla,Hadiklaim,200,4000
2025-03-21,D-514,GR8597,ROYAL DELIGHT,AJWA,81466,73,5,365,Premium Dates,Royal Delight Ajwa Dates 5 Kgs,Savla,Local,980,357700
2025-03-24,D-39,GR22314,AL BARAKAH,SAFAVI 500G,132065,3,10,30,Premium Dates,Al Barakaha Safavi Dates 500g,Savla,,700,21000
2025-03-24,D-39,GR22314,RD SAFAVI,250GM,132067,17,5,85,Premium Dates,RD Safavi Dates 250g,Savla,Local,550,46750
2025-03-24,D-39,GR22314,ROYAL DELIGHT,ARABIAN 250G,132066,10,8,80,Economical Dates,Royal Delight Arabian 250gm,Savla,AL BARAKAH,116,9280
2025-03-31,D-514,GR8855,WANAN DATES,12.5 KG,81944,3,12.5,37.5,Organic Dates,Organic Wanan Premium Large,Savla,NAKHEEL,715,26812.5
2025-03-31,D-514,GR8855,SEQEE DATES,12.5 KG,81942,3,12.5,37.5,Organic Dates,Organic Seqee Premium Large,Savla,NAKHEEL,641,24037.5
2025-03-31,D-514,GR8855,SUKHARI BROWN BOX,1 KG,81934,1,10,10,Economical Dates,Wet Dates (Sukkary),Savla,Local,350,3500
2025-03-31,D-514,GR8855,KHIDRI,12.5 KG,81943,1,12.5,12.5,Organic Dates,Organic Khidri Premium Medium,Savla,NAKHEEL,403,5037.5
2025-03-31,D-514,GR8855,DEGLET BROWN BOX,500 GM,81937,10,5,50,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,510,25500
2025-04-07,D-39,GR465,CRUSHED WHITE,-,138382,3,10,30,Dry Dates,AL BARAKAH CRUSHED DATES 10KG,Savla,AL BARAKAH,127,3810
2025-04-07,D-514,GR117,ORGANIC WANAN,PR.JUMBO,76578,11,12.5,137.5,Organic Dates,Organic Wanan Premium Jumbo,Savla,NAKHEEL,938,128975
2025-04-07,D-514,GR117,ORGANIC WANAN,PR.LARGE,76579,10,12.5,125,Organic Dates,Organic Wanan Premium Large,Savla,NAKHEEL,715,89375
2025-04-30,D-514,GR748,RABIA DETLAND DATES,-,2056,5,5,25,Economical Dates,Wet Dates (Rabia),Savla,Local,187.5,4687.5
2025-05-16,D-39,GR3027,DATE POWDER,-,142972,50,10,500,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,135000
2025-06-29,D-39,GR5609,AL BARAKAH,MIX,147739,32,10,320,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,86400
2025-09-24,D-39,GR10777,AL BARAKAH,-,156985,1529,10,15290,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,280,4281200
2025-10-04,D-39,GR11598,AL BARAKAH,-,159001,49,10,490,Economical Dates,AL BARAKAH SAYER DATES 10KG,Savla,AL BARAKAH,99,48510
2025-10-16,D-514,GR5011,IRAN BAM MIX,-,8004,385,6.9,2656.5,Economical Dates,Wet Dates (Mazafati),Savla,,240,637560
2025-10-22,D-39,GR12815,AL BARAKAH,-,162607,,12.5,,Date Paste,AL BARAKAH DATE PASTE 12.5KG,Savla,AL BARAKAH,85,
2025-11-04,D-39,GR13565,KIMIA GOLD,-,164985,342,6.8,2325.6,Economical Dates,Wet Dates (Mazafati),Savla,,200,465120
2025-11-19,D-514,GR5839,AJWA PREMIUM (JFD)8883,-,9620,5,5,25,Premium Dates,Wet Dates Ajwa,Savla,,675,16875
2025-11-19,D-514,GR5839,AJWA REGULAR (JFD) 8884,-,9621,50,5,250,Premium Dates,Wet Dates Ajwa,Savla,,675,168750
2025-11-20,D-39,GR14955,AL FAJR,LARGE PREMIUM,168296,143,5,715,Premium Dates,WET DATES MEDJOUL BULK LARGE (5),Savla,Local,775,554125
2025-11-20,D-39,GR14954,ARWA GREEN,LARGE DELIGHT,168297,159,5,795,Premium Dates,WET DATES MEDJOUL BULK LARGE (5),Savla,Local,775,616125
2025-12-13,D-514,GR6454,AJWA REGULAR [8884],-,10798,15,5,75,Premium Dates,Wet Dates Ajwa,Savla,,675,50625
2025-12-13,D-514,GR6454,SIAFA MABROOM REGUL.[8701],-,10801,45,5,225,Premium Dates,Wet Dates (Mabroom),Savla,,800,180000
2026-01-05,D-39,GR18060,DATE SYRUP,AL BARKH,176393,465,25,11625,Date Syrup,25KG AL BARAKAH DATE SYRUP V1,Savla,AL BARAKAH,109.8,1276425
2026-01-05,D-39,GR18127,DATE SYRUP,-,176443,856,25,21400,Date Syrup,25KG AL BARAKAH DATE SYRUP V1,Savla,AL BARAKAH,109.8,2349720
2026-01-12,D-514,GR7119,AJWA WHITE BOX,-,12108,200,5,1000,Premium Dates,Wet Dates Ajwa,Savla,,675,675000
2026-01-18,D-514,GR7275,SUPER SELECT SAFAWI,SP,12328,21,5,105,Premium Dates,Wet Dates Safavi,Savla,,248,26040
2026-01-18,D-514,GR7275,SUPER SELECT AJWA,A,12325,916,5,4580,Premium Dates,Wet Dates Ajwa,Savla,,248,1135840
2026-01-18,D-514,GR7275,SUPER SELECT SAFAWI,SS,12324,690,5,3450,Premium Dates,Wet Dates Safavi,Savla,,435,1500750
2026-01-18,D-514,GR7275,SUPER SELECT SAFAWI,SS,12324,970,5,4850,Premium Dates,Wet Dates Safavi,Savla,,435,2109750
2026-01-18,D-514,GR7275,AL BARAKH BUCKET,-,12323,384,25,9600,Date Syrup,25KG AL BARAKAH DATE SYRUP V1,Savla,AL BARAKAH,118.32,1135872
2026-01-18,D-39,GR18934,AL BARAKAH SYRUP,-,177987,1317,4.8,6321.599999999999,Date Syrup,AL BARAKAH DATES SYRUP 400G,Savla,AL BARAKAH,343.2,2169573.12
2026-01-18,D-39,GR18934,AL BARAKAH DATE POWDER,-,177988,200,10,2000,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,280,560000
2026-01-18,D-39,GR18934,AL BARAKAH,PASTE,177986,211,12.5,2637.5,Date Paste,AL BARAKAH DATE PASTE 12.5KG,Savla,AL BARAKAH,85,224187.5
2026-01-19,D-39,GR18963,AL BARAKH SYRUP,400 GM,168714,19,4.8,91.2,Date Syrup,AL BARAKAH DATES SYRUP 400G,Savla,AL BARAKAH,343.2,31299.84
2026-01-29,D-514,GR7518,SAFAWI DATES(WHITE BOX ),-,12324,184,5,920,Premium Dates,Wet Dates Safavi,Savla,,435,400200
2026-02-04,D-514,GR7675,MEDJOUL DATELAND (9970),-,13039,118,5,590,Premium Dates,WET DATES MEDJOUL BULK MINI (5),Savla,Local,675,398250
2026-02-16,D-39,GR20651,DATE SYRUP,AL-BARKH,176393,19,25,475,Date Syrup,25KG AL BARAKAH DATE SYRUP V1,Savla,AL BARAKAH,109.8,52155
2024-02-27,D-39,GR19491,ROASTED,A-185-RMSIZE6,86683,30,11.34,340.2,Macadamia,Macadamia Roasted - Size 6,Savla,,900,306180
2024-02-28,D-39,GR19567,ROASTED NIS SAWN PASTE,A-185 RM,86838,12,12,144,Macadamia Paste,Macadamia Paste,Savla,,1676.8,241459.2
2024-10-09,D-39,GR11739,WHOLE,APPLE INFUSED,113027,2,9.08,18.16,Blueberry,Dried Blueberry Apple Infused,Savla,Tajir,1270,23063.2
2024-10-26,D-39,GR12937,DRY ROASTED MACAAMIA,PASTE 2KG,109237,2,12,24,Macadamia Paste,Macadamia Paste,Savla,,1676.8,40243.2
2024-11-08,D-514,GR5551,ORGANIC MEDJOUL,PR.LARGE,76581,7,5,35,Organic Dates,Organic Medjool Premium Large,Savla,NAKHEEL,730,25550
2024-11-08,D-514,GR5550,ORGANIC KHIDRI,PR.MEDIUM,76577,49,12.5,612.5,Organic Dates,Organic Khidri Premium Medium,Savla,NAKHEEL,403,246837.5
2024-11-08,D-514,GR5551,ORGANIC KHIDRI,PR.LARGE,76576,35,12.5,437.5,Organic Dates,Organic Khidri Large dates,Savla,NAKHEEL,462,202125
2024-11-14,D-514,GR5704,ORAGNIC KHIDRI,PR.MEDIUM,76577,38,12.5,475,Organic Dates,Organic Khidri Premium Medium,Savla,NAKHEEL,403,191425
2024-11-14,D-39,GR13889,MARAUIS,STYLE4 SALTED,119159,3,11.34,34.02,Macadamia,Macadamia Roasted Salted - Size 4,Savla,,1277,43443.53999999999
2024-11-16,D-514,GR5739,ORAGNIC SEQCE LARGE,LARGE,76870,1,12.5,12.5,Organic Dates,Organic Seqee Premium Large,Savla,NAKHEEL,641,8012.5
2024-11-27,D-514,GR5973,ORGANIC KHIDRI LARGE,-,77155,2,12.5,25,Organic Dates,Organic Khidri Large dates,Savla,NAKHEEL,462,11550
2024-11-27,D-514,GR5973,ORGANIC KHIDRI MEDIUM,-,77154,1,12.5,12.5,Organic Dates,Organic Khidri Premium Medium,Savla,NAKHEEL,403,5037.5
2024-12-01,D-514,GR6074,ORGANIC SEQEE,PREMIUM LARGE,76583,1,12.5,12.5,Organic Dates,Organic Seqee Premium Large,Savla,NAKHEEL,641,8012.5
2024-12-01,D-514,GR6074,ORGANIC AJWA,PR. JUMBO,76868,1,5,5,Organic Dates,Organic Ajwa Premium Large,Savla,NAKHEEL,789,3945
2024-12-04,D-39,GR15092,WHOLE,APPLE INFUSEL,113027,6,9.08,54.48,Blueberry,Dried Blueberry Apple Infused,Savla,Tajir,1270,69189.6
2025-01-20,D-39,GR18282,BROWN,SRK-100-99,129048,14,15,210,Raisins,Indian Green Raisins,Savla,,295,61950
2025-01-28,D-39,GR18832,SRK-24,-,130273,11,15,165,Raisins,Indian Green Raisins,Savla,,295,48675
2025-02-02,D-39,GR19184,KING SALOMONS,502461345,130939,4,5,20,Premium Dates,Medjoul Dates Medium,Savla,Hadiklaim,712,14240
2025-02-27,D-39,GR20770,SGPC BROWN BOX,EX LARGE,133878,29,13.6,394.4,Pecan Nut,Pecan Nuts,Savla,,1380,544272
2025-03-04,D-39,GR21100,SOUTH GEORGIA,LARGE,134478,5,13.6,68,Pecan Nut,Pecan Nuts,Savla,,1380,93840
2025-03-07,D-39,GR21313,SOUTH GEORGIA,-,134856,5,13.6,68,Pecan Nut,Pecan Nuts,Savla,,1380,93840
2025-03-19,D-514,GR8551,ORGANIC KHUDRI BROWN BOX,12 KG,81383,6,12.5,75,Organic Dates,Organic Khidri Large dates,Savla,NAKHEEL,462,34650
2025-03-20,D-39,GR22089,SRK-28,-,136258,5,15,75,Raisins,Indian Green Raisins,Savla,,295,22125
2025-03-29,D-39,GR22729,MARQUIS STYLE 4L COOKED P,-,137391,46,11.34,521.64,Macadamia,Macadamia Roasted - Size 4L,Savla,,1290,672915.6
2025-04-17,D-39,GR1178,MEHMET,200 GM,139652,,,,,,,,,
2025-04-23,D-39,GR1601,DOST,6-8 MM,140344,18,10,180,Hazelnut,Hazelnut Kernal,Savla,,1060,190800
2025-04-30,D-514,GR747,KHIDRI LARGE ORGANIC,1 KG,2057,1,8,8,Organic Dates,Organic Khidri Large dates,Savla,NAKHEEL,462,3696
2025-04-30,D-514,GR747,ORGANIC WANAN LARGE,1 KG,2059,1,12,12,Organic Dates,Organic Wanan Premium Large,Savla,NAKHEEL,715,8580
2025-04-30,D-514,GR747,ORGANIC SEQEE LARGE,1 KG,2058,1,12,12,Organic Dates,Organic Seqee Premium Large,Savla,NAKHEEL,641,7692
2025-04-30,D-514,GR747,KHUDRI LARGE,1 KG,2060,1,16,16,Organic Dates,Organic Khidri Large dates,Savla,NAKHEEL,462,7392
2025-06-12,D-39,GR4381,BOB-68-13,-,141756,11,15,165,Raisins,Indian Green Raisins,Savla,,288,47520
2025-07-16,D-514,GR2804,DEGLET NOOR,552420399,4523,36,5,180,Premium Dates,Deglet Dates,Savla,Hadiklaim,510,91800
2025-07-18,D-39,GR6846,FANCY DRY ROASTED,SGP -BROWN,149845,6,13.6,81.6,Pecan Nut,Pecan Nuts,Savla,,1380,112608
2025-07-24,D-514,GR3016,MEDJOUL MIX,NO-2,4905,118,5,590,Premium Dates,Off-Grade Dates,Savla,,200,118000
2025-07-29,D-39,GR7485,MARQUIS SAWN 22+SP,-,150930,44,10,440,Macadamia,Macadamia Vanilla Whole - 320* Cut,Savla,,625,275000
2025-07-30,D-39,GR7579,STYLE 4 L COOKED P,-,151105,4,11.34,45.36,Macadamia,Macadamia Roasted Salted - Size 4,Savla,,1500,68040
2025-08-04,D-39,GR7901,DRY ROAST,STYLE -6,151709,1,11.34,11.34,Macadamia,Macadamia Roasted - Size 6,Savla,,900,10206
2025-08-05,D-39,GR7967,MEDURI,WHOLE,151836,6,4.54,27.24,Cranberry,Dried Cranberry Whole,Savla,Tajir,890,24243.6
2025-08-26,D-39,GR9080,-,0 L,153333,3,11.34,34.02,Macadamia,Macadamia Roasted - Size 0,Savla,,1790,60895.8
2025-09-29,D-514,GR4577,DEGL.NOOR BRANCH(6903,502420403,7232,198,5,990,Premium Dates,Deglet Dates,Savla,Hadiklaim,527,521730
2025-09-29,D-514,GR4577,DEGL.NOOR BRANCH(6902,552420400,7231,198,5,990,Premium Dates,Deglet Dates,Savla,Hadiklaim,527,521730
